strongs_id,Original Word,Part of Speech,Transliteration,Pronunciation,Phonetic Spelling,KJV,Word Origin,NASB
G4155,πνίγω,Verb,pnigó,pnee'-go,(pnee'-go),"choke, take by the throat",[strengthened from,"choke, drowned"
G4156,πνικτός,Adjective,pniktos,pnee-k-tos',(pnik-tos'),strangled,[from,"strangled, things strangled"
G4157,πνοή,"Noun, Feminine",pnoé,pno-ay',(pno-ay'),"breath, wind",[from,"breath, wind"
G4158,ποδήρης,Adjective,podérés,po-day-RACE,(pod-ay'-race),garment down to the foot,[from,"robe reaching, robe reaching to the feet"
G4159,πόθεν,"Adverb, Interrogative",pothen,PO-then,(poth'-en),whence,[from the base of,"where, how, what, what sense, what source"
G4160,ποιέω,Verb,poieó,poy-eh'-o,(poy-eh'-o),"abide, + agree, appoint, X avenge, + band together, be, bear, + bewray, bring (forth), cast out, cause, commit, + content, continue, deal, + without any delay, (would) do(-ing), execute, exercise, fulfil, gain, give, have, hold, X journeying, keep, + lay wait, + lighten the ship, make, X mean, + none of these things move me, observe, ordain, perform, provide, + have purged, purpose, put, + raising up, X secure, shew, X shoot out, spend, take, tarry, + transgress the law, work, yield",[apparently a prolonged form of an obsolete primary],"do, make, done, doing, made, did, does"
G4161,ποίημα,"Noun, Neuter",poiéma,poy'-ay-mah,(poy'-ay-mah),"thing that is made, workmanship",[from,"what has been made, workmanship"
G4162,ποίησις,"Noun, Feminine",poiésis,poy'-ay-sis,(poy'-ay-sis),deed,[from,what does
G4163,ποιητής,"Noun, Masculine",poiétés,poy-ay-TACE,(poy-ay-tace'),"doer, poet",[from,"doer, doers, poets"
G4164,ποικίλος,Adjective,poikilos,poy-kee'-los,(poy-kee'-los),"divers, manifold",[of uncertain derivation],"various, manifold, varied"
G4165,ποιμαίνω,Verb,poimainó,poy-MY-no,(poy-mah'-ee-no),"feed (cattle), rule",[from,"shepherd, rule, caring, tending sheep, tends"
G4166,ποιμήν,"Noun, Masculine",poimén,poy-MANE,(poy-mane'),"shepherd, pastor",[of uncertain affinity],"shepherd, shepherds, pastors"
G4167,ποίμνη,"Noun, Feminine",poimné,poym-nay',(poym'-nay),"flock, fold",[contraction from,flock
G4168,ποίμνιον,"Noun, Neuter",poimnion,poym'-nee-on,(poym'-nee-on),flock,[neuter of a presumed derivative of,flock
G4169,ποῖος,Interrogative Pronoun,poios,poy'-os,(poy'-os),"what (manner of), which",[from the base of,"what, what kind, which, what things, which ones"
G4170,πολεμέω,Verb,polemeó,po-leh-MEH-o,(pol-em-eh'-o),"fight, (make) war",[from,"wage war, make war, quarrel, waged, wages war, waging"
G4171,πόλεμος,"Noun, Masculine",polemos,po'-le-mos,(pol'-em-os),"battle, fight, war","[from pelomai ""to bustle""]","war, wars, battle, quarrels"
G4172,πόλις,"Noun, Feminine",polis,POH-lis,(pol'-is),city,"[probably from pelomai ""to bustle"", or perhaps from","city, cities"
G4173,πολιτάρχης,"Noun, Masculine",politarchés,po-lee-TAR-khace,(pol-it-ar'-khace),ruler of the city,[from,city authorities
G4174,πολιτεία,"Noun, Feminine",politeia,po-lee-TEH-ah,(pol-ee-ti'-ah),"commonwealth, freedom",[from,"citizenship, commonwealth"
G4175,πολίτευμα,"Noun, Neuter",politeuma,po-LEE-tyoo-mah,(pol-it'-yoo-mah),conversation,[from,citizenship
G4176,πολιτεύομαι,Verb,politeuomai,po-li-TEU-o-mai,(pol-it-yoo'-om-ahee),"let conversation be, live",[middle voice of a derivative of,"conduct, lived life"
G4177,πολίτης,"Noun, Masculine",polités,po-LEE-tace,(pol-ee'-tace),citizen,[from,"citizens, citizen, fellow citizen"
G4178,πολλάκις,Adverb,pollakis,pol-lah'-kis,(pol-lak'-is),"oft(-en, -entimes, -times)",[multiplicative adverb from,"often, frequent, many, time after time"
G4179,πολλαπλασίων,Adjective,pollaplasión,pol-lap-las-ee'-own,(pol-lap-las-ee'-ohn),manifold more,[from,"many times, many times as much"
G4180,πολυλογία,"Noun, Feminine",polulogia,po-loo-lo-GEE-ah,(pol-oo-log-ee'-ah),much speaking,[from a compound of,many words
G4181,πολυμερῶς,Adverb,polumerós,po-loo-me-ROS,(pol-oo-mer'-oce),at sundry times,[adverb from a compound of,many portions
G4182,πολυποίκιλος,Adjective,polupoikilos,po-loo-POY-kee-los,(pol-oo-poy'-kil-os),manifold,[from,manifold
G4183,πολύς,Adjective,polus,po-LOOS,(pol-oos'),"abundant, + altogether, common, + far (passed, spent), (+ be of a) great (age, deal, -ly, while), long, many, much, oft(-en (-times)), plenteous, sore, straitly",[from ???],"many, much, great, large, more, many things, most"
G4184,πολυσπλαγχνός,Adjective,polusplagchnos,po-loos-PLAHG-kh-nos,(pol-oo'-splankh-nos),very pitiful,[from,full of compassion
G4185,πολυτελής,Adjective,polutelés,po-loo-te-LACE,(pol-oo-tel-ace'),"costly, very precious, of great price",[from,"costly, precious, very costly"
G4186,πολύτιμος,Adjective,polutimos,po-LOO-tee-mos,(pol-oot'-ee-mos),"very costly, of great price",[from,"great value, more precious, very costly"
G4187,πολυτρόπως,Adverb,polutropós,po-loo-tro-pos',(pol-oot-rop'-oce),in divers manners,[adverb from a compound of,many ways
