bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,bible_book,version,lit_type,test_type
1,Genesis1:12,WORD,,G3708,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G2316,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G3754,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G2570,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:13,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:13,WORD,,G1096,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:13,WORD,,G2073,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:13,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:13,WORD,,G1096,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:13,WORD,,G4404,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:13,WORD,,G2250,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:13,WORD,,G5154,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G2036,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G2316,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G1096,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G5458,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G1722,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G4733,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G3772,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G1519,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G1093,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G303,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G3319,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G2250,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G303,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G3319,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G3571,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G1510,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G1519,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G4592,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G1519,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G2540,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G1519,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G2250,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G1519,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:14,WORD,,G1763,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:15,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:15,WORD,,G1510,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:15,WORD,,G1519,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:15,WORD,,,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:15,WORD,,G1722,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:15,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:15,WORD,,G4733,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:15,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:15,WORD,,G3772,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:15,WORD,,G5620,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:15,WORD,,G5316,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:15,WORD,,G1909,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:15,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:15,WORD,,G1093,Genesis,LXX,Pentateuch,Old Testament
